GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Suivi-Patients,com.example.suivipatients.config,SecurityConfig,23,0,0,0,4,0,4,0,4,0
Suivi-Patients,com.example.suivipatients.config,RestTemplateConfig,7,0,0,0,2,0,2,0,2,0
Suivi-Patients,com.example.suivipatients.controllers,SuiviTraitementController,0,131,1,3,0,27,1,11,0,10
Suivi-Patients,com.example.suivipatients.controllers,SuiviTraitementController.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Suivi-Patients,com.example.suivipatients.services,SuiviTraitementService.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Suivi-Patients,com.example.suivipatients.services,SuiviTraitementService,36,231,17,19,4,51,20,12,3,11
Suivi-Patients,com.example.suivipatients.dtos,TreatmentUpdateRequest,0,52,0,0,0,15,0,15,0,15
Suivi-Patients,com.example.suivipatients.dtos,ValidateDoseRequest,0,10,0,0,0,3,0,3,0,3
Suivi-Patients,com.example.suivipatients.dtos,TreatmentRequest,0,52,0,0,0,15,0,15,0,15
Suivi-Patients,com.example.suivipatients.models,SuiviTraitement,0,80,0,0,0,23,0,23,0,23
Suivi-Patients,com.example.suivipatients,SuiviPatientsApplication,5,3,0,0,2,1,1,1,1,1
